Header:
v=0.500000
T=0.354797
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
0.089972,0.453663,0.274013,-0.220350,0.481159,4.011978,0.114610,1.034813,0.022944,-0.158443,-0.261718,4.719098,-1.007900,-0.107366,-0.001022,0.301578
0.091552,0.450841,0.273150,-0.254990,0.495194,4.008543,0.118270,1.048926,0.022303,-0.191280,-0.245154,4.736270,-1.007900,-0.107366,-0.001022,0.305126
0.093127,0.448018,0.272210,-0.289631,0.509221,4.005109,0.121961,1.063039,0.021588,-0.224116,-0.228551,4.753441,-1.007900,-0.107366,-0.001022,0.308674
0.094693,0.445196,0.271173,-0.324272,0.523239,4.001675,0.125692,1.077151,0.020781,-0.256953,-0.211900,4.770613,-1.007900,-0.107366,-0.001022,0.312221
0.096242,0.442373,0.269921,-0.358912,0.537235,3.998240,0.129510,1.091264,0.019772,-0.289789,-0.195142,4.787784,-1.007900,-0.107366,-0.001022,0.315769
0.097787,0.439551,0.268628,-0.393553,0.551227,3.994806,0.133345,1.105376,0.018722,-0.322626,-0.178364,4.804956,-1.007900,-0.107366,-0.001022,0.319317
0.099325,0.436728,0.267237,-0.428193,0.565210,3.991372,0.137220,1.119489,0.017580,-0.355462,-0.161538,4.822128,-1.007900,-0.107366,-0.001022,0.322865
0.100843,0.433906,0.265604,-0.462834,0.579168,3.987938,0.141193,1.133602,0.016208,-0.388299,-0.144592,4.839299,-1.007900,-0.107366,-0.001022,0.326413
0.102359,0.431083,0.263951,-0.497474,0.593125,3.984503,0.145174,1.147714,0.014818,-0.421135,-0.127636,4.856471,-1.007900,-0.107366,-0.001022,0.329961
0.103865,0.428261,0.262176,-0.532115,0.607069,3.981069,0.149205,1.161827,0.013313,-0.453972,-0.110619,4.873643,-1.007900,-0.107366,-0.001022,0.333509
0.105355,0.425438,0.260197,-0.566755,0.620993,3.977635,0.153320,1.175939,0.011613,-0.486808,-0.093501,4.890814,-1.007900,-0.107366,-0.001022,0.337057
0.106843,0.422616,0.258198,-0.601396,0.634916,3.974200,0.157442,1.190052,0.009894,-0.519645,-0.076373,4.907986,-1.007900,-0.107366,-0.001022,0.340605
0.108317,0.419793,0.256027,-0.636036,0.648821,3.970766,0.161635,1.204165,0.008013,-0.552481,-0.059160,4.925158,-1.007900,-0.107366,-0.001022,0.344153
0.109778,0.416971,0.253701,-0.670677,0.662711,3.967332,0.165891,1.218277,0.005985,-0.585318,-0.041871,4.942329,-1.007900,-0.107366,-0.001022,0.347701
0.111239,0.414148,0.251370,-0.705317,0.676600,3.963897,0.170148,1.232390,0.003952,-0.618154,-0.024578,4.959501,-1.007900,-0.107366,-0.001022,0.351249
0.112685,0.411326,0.248855,-0.739958,0.690471,3.960463,0.174481,1.246502,0.001744,-0.650991,-0.007194,4.976672,-1.007900,-0.107366,-0.001022,0.354797
